source,date,author,text,topic
hackernews,2019-12-11T08:49:39Z,tosh,Oklo launches Aurora advanced fission clean energy plant in US,clean energy
hackernews,2022-06-21T17:47:40Z,mhb,"Cheap, green hydrogen would be a breakthrough in clean energy",clean energy
hackernews,2019-08-03T20:11:59Z,ekr,Germany Turns to Hydrogen in Quest for Clean Energy Economy,clean energy
hackernews,2022-04-09T21:08:37Z,xojoc,Quaise Energy – Unlocking the true power of clean geothermal energy,clean energy
hackernews,2015-07-30T19:12:06Z,ph0rque,"We Need Clean-Energy Innovation, and Lots of It",clean energy
hackernews,2018-11-19T17:42:38Z,Osiris30,It's Time to Change the Narrative About Clean Energy,clean energy
hackernews,2022-11-04T12:11:15Z,mauvehaus,A sand battery could transform clean energy,clean energy
hackernews,2016-01-21T19:41:00Z,noobermin,Bill Gates Expected to Create Billion-Dollar Fund for Clean Energy (2015),clean energy
hackernews,2015-11-30T04:14:31Z,Perados,Mark Zuckerberg and Bill Gates Join Forces to Invest in Clean Energy Technology,clean energy
hackernews,2025-04-08T11:05:41Z,blackhawkC17,Pakistan's 22 GW Solar Shock: How a Fragile State Went Full Clean Energy,clean energy
hackernews,2016-04-10T17:23:14Z,martythemaniak,Ammonia Is the Everest Base Camp for Clean Energy,clean energy
hackernews,2016-01-14T17:46:19Z,prostoalex,Why clean energy is now expanding even when fossil fuels are cheap,clean energy
hackernews,2023-12-14T15:09:29Z,schuyler2d,"Engineers harvest clean, continuous energy from air",clean energy
hackernews,2017-12-26T02:44:24Z,jseliger,"Long-Term Clean Energy Optimism, Short-Term Caution",clean energy
hackernews,2019-04-03T15:33:50Z,kickout,The Third Phase of Clean Energy Will Be Most Disruptive Yet,clean energy
hackernews,2021-04-02T18:00:55Z,nixass,"Nuclear should be considered part of clean energy standard, White House says",clean energy
hackernews,2016-12-12T02:54:13Z,jseliger,Bill Gates et. al. launch massive clean-energy fund to fight climate change,clean energy
hackernews,2017-05-05T10:35:03Z,dnetesn,Iceland drills 4.7 km down into volcano to tap clean energy,clean energy
hackernews,2018-04-23T11:23:52Z,dankohn1,How Windmills as Wide as Jumbo Jets Are Making Clean Energy Mainstream,clean energy
hackernews,2017-12-28T01:39:40Z,richardw,Road map to clean energy using laser beam ignition of boron-hydrogen fusion,clean energy
hackernews,2019-12-11T08:49:39Z,tosh,Oklo launches Aurora advanced fission clean energy plant in US,clean energy
hackernews,2022-06-21T17:47:40Z,mhb,"Cheap, green hydrogen would be a breakthrough in clean energy",clean energy
hackernews,2019-08-03T20:11:59Z,ekr,Germany Turns to Hydrogen in Quest for Clean Energy Economy,clean energy
hackernews,2022-04-09T21:08:37Z,xojoc,Quaise Energy – Unlocking the true power of clean geothermal energy,clean energy
hackernews,2015-07-30T19:12:06Z,ph0rque,"We Need Clean-Energy Innovation, and Lots of It",clean energy
hackernews,2018-11-19T17:42:38Z,Osiris30,It's Time to Change the Narrative About Clean Energy,clean energy
hackernews,2022-11-04T12:11:15Z,mauvehaus,A sand battery could transform clean energy,clean energy
hackernews,2016-01-21T19:41:00Z,noobermin,Bill Gates Expected to Create Billion-Dollar Fund for Clean Energy (2015),clean energy
hackernews,2015-11-30T04:14:31Z,Perados,Mark Zuckerberg and Bill Gates Join Forces to Invest in Clean Energy Technology,clean energy
hackernews,2025-04-08T11:05:41Z,blackhawkC17,Pakistan's 22 GW Solar Shock: How a Fragile State Went Full Clean Energy,clean energy
hackernews,2016-04-10T17:23:14Z,martythemaniak,Ammonia Is the Everest Base Camp for Clean Energy,clean energy
hackernews,2016-01-14T17:46:19Z,prostoalex,Why clean energy is now expanding even when fossil fuels are cheap,clean energy
hackernews,2023-12-14T15:09:29Z,schuyler2d,"Engineers harvest clean, continuous energy from air",clean energy
hackernews,2017-12-26T02:44:24Z,jseliger,"Long-Term Clean Energy Optimism, Short-Term Caution",clean energy
hackernews,2019-04-03T15:33:50Z,kickout,The Third Phase of Clean Energy Will Be Most Disruptive Yet,clean energy
hackernews,2021-04-02T18:00:55Z,nixass,"Nuclear should be considered part of clean energy standard, White House says",clean energy
hackernews,2016-12-12T02:54:13Z,jseliger,Bill Gates et. al. launch massive clean-energy fund to fight climate change,clean energy
hackernews,2017-05-05T10:35:03Z,dnetesn,Iceland drills 4.7 km down into volcano to tap clean energy,clean energy
hackernews,2018-04-23T11:23:52Z,dankohn1,How Windmills as Wide as Jumbo Jets Are Making Clean Energy Mainstream,clean energy
hackernews,2017-12-28T01:39:40Z,richardw,Road map to clean energy using laser beam ignition of boron-hydrogen fusion,clean energy
hackernews,2019-12-11T08:49:39Z,tosh,Oklo launches Aurora advanced fission clean energy plant in US,clean energy
hackernews,2022-06-21T17:47:40Z,mhb,"Cheap, green hydrogen would be a breakthrough in clean energy",clean energy
hackernews,2019-08-03T20:11:59Z,ekr,Germany Turns to Hydrogen in Quest for Clean Energy Economy,clean energy
hackernews,2022-04-09T21:08:37Z,xojoc,Quaise Energy – Unlocking the true power of clean geothermal energy,clean energy
hackernews,2015-07-30T19:12:06Z,ph0rque,"We Need Clean-Energy Innovation, and Lots of It",clean energy
hackernews,2018-11-19T17:42:38Z,Osiris30,It's Time to Change the Narrative About Clean Energy,clean energy
hackernews,2022-11-04T12:11:15Z,mauvehaus,A sand battery could transform clean energy,clean energy
hackernews,2016-01-21T19:41:00Z,noobermin,Bill Gates Expected to Create Billion-Dollar Fund for Clean Energy (2015),clean energy
hackernews,2015-11-30T04:14:31Z,Perados,Mark Zuckerberg and Bill Gates Join Forces to Invest in Clean Energy Technology,clean energy
hackernews,2025-04-08T11:05:41Z,blackhawkC17,Pakistan's 22 GW Solar Shock: How a Fragile State Went Full Clean Energy,clean energy
hackernews,2016-04-10T17:23:14Z,martythemaniak,Ammonia Is the Everest Base Camp for Clean Energy,clean energy
hackernews,2016-01-14T17:46:19Z,prostoalex,Why clean energy is now expanding even when fossil fuels are cheap,clean energy
hackernews,2023-12-14T15:09:29Z,schuyler2d,"Engineers harvest clean, continuous energy from air",clean energy
hackernews,2017-12-26T02:44:24Z,jseliger,"Long-Term Clean Energy Optimism, Short-Term Caution",clean energy
