source,date,author,text,topic
hackernews,2019-01-03T00:48:40Z,sohkamyung,Ethereum Plans to Cut Its Energy Consumption by 99 Percent,energy
hackernews,2016-04-19T04:41:21Z,Osiris30,"Solar is now cheaper than some coal, says India energy minister",energy
hackernews,2019-07-29T21:44:16Z,jjallen,Megapack: Utility-Scale Energy Storage,energy
hackernews,2024-10-14T19:06:22Z,atomic128,Google commits to buying power generated by nuclear-energy startup Kairos Power,energy
hackernews,2017-06-25T16:05:33Z,JumpCrisscross,Texas Is Too Windy and Sunny for Old Energy Companies to Make Money,energy
hackernews,2020-08-30T18:52:24Z,elsewhen,"After 48 years, Democrats endorse nuclear energy in platform",energy
hackernews,2018-08-07T19:43:05Z,bumholio,Power Worth Less Than Zero Spreads as Green Energy Floods the Grid,energy
hackernews,2022-12-13T16:44:40Z,novateg,US Department of Energy: Fusion Ignition Achieved,energy
hackernews,2021-05-18T13:55:41Z,vishnu_ks,Ethereum will use around 99.95% less energy post merge,energy
hackernews,2015-05-01T04:00:32Z,tga_d,Tesla Energy,energy
hackernews,2022-02-09T12:02:41Z,playpause,Major breakthrough on nuclear fusion energy,energy
hackernews,2022-12-11T18:29:26Z,zackoverflow,Fusion energy breakthrough by Livermore Lab,energy
hackernews,2021-09-08T19:50:36Z,klintcho,MIT-designed project achieves major advance toward fusion energy,energy
hackernews,2016-12-06T14:31:40Z,danvoell,Google says it will run entirely on renewable energy in 2017,energy
hackernews,2016-12-15T23:35:13Z,Osiris30,World Energy Hits a Turning Point: Solar That's Cheaper Than Wind,energy
hackernews,2021-11-09T20:26:22Z,julosflb,Macron says France will build new nuclear energy reactors,energy
hackernews,2018-08-18T17:16:04Z,nabla9,Stacking concrete blocks is a surprisingly efficient way to store energy,energy
hackernews,2013-05-22T20:22:00Z,weisser,Tesla Repays Department of Energy Loan Nine Years Early,energy
hackernews,2017-07-31T15:41:42Z,mpweiher,"Out of all major energy sources, nuclear is the safest",energy
hackernews,2022-12-22T13:18:03Z,geox,Japan to invest on nuclear energy in major policy shift,energy
hackernews,2019-01-03T00:48:40Z,sohkamyung,Ethereum Plans to Cut Its Energy Consumption by 99 Percent,energy
hackernews,2016-04-19T04:41:21Z,Osiris30,"Solar is now cheaper than some coal, says India energy minister",energy
hackernews,2019-07-29T21:44:16Z,jjallen,Megapack: Utility-Scale Energy Storage,energy
hackernews,2024-10-14T19:06:22Z,atomic128,Google commits to buying power generated by nuclear-energy startup Kairos Power,energy
hackernews,2017-06-25T16:05:33Z,JumpCrisscross,Texas Is Too Windy and Sunny for Old Energy Companies to Make Money,energy
hackernews,2020-08-30T18:52:24Z,elsewhen,"After 48 years, Democrats endorse nuclear energy in platform",energy
hackernews,2018-08-07T19:43:05Z,bumholio,Power Worth Less Than Zero Spreads as Green Energy Floods the Grid,energy
hackernews,2022-12-13T16:44:40Z,novateg,US Department of Energy: Fusion Ignition Achieved,energy
hackernews,2021-05-18T13:55:41Z,vishnu_ks,Ethereum will use around 99.95% less energy post merge,energy
hackernews,2015-05-01T04:00:32Z,tga_d,Tesla Energy,energy
hackernews,2022-02-09T12:02:41Z,playpause,Major breakthrough on nuclear fusion energy,energy
hackernews,2022-12-11T18:29:26Z,zackoverflow,Fusion energy breakthrough by Livermore Lab,energy
hackernews,2021-09-08T19:50:36Z,klintcho,MIT-designed project achieves major advance toward fusion energy,energy
hackernews,2016-12-06T14:31:40Z,danvoell,Google says it will run entirely on renewable energy in 2017,energy
hackernews,2016-12-15T23:35:13Z,Osiris30,World Energy Hits a Turning Point: Solar That's Cheaper Than Wind,energy
hackernews,2021-11-09T20:26:22Z,julosflb,Macron says France will build new nuclear energy reactors,energy
hackernews,2018-08-18T17:16:04Z,nabla9,Stacking concrete blocks is a surprisingly efficient way to store energy,energy
hackernews,2013-05-22T20:22:00Z,weisser,Tesla Repays Department of Energy Loan Nine Years Early,energy
hackernews,2017-07-31T15:41:42Z,mpweiher,"Out of all major energy sources, nuclear is the safest",energy
hackernews,2022-12-22T13:18:03Z,geox,Japan to invest on nuclear energy in major policy shift,energy
hackernews,2019-01-03T00:48:40Z,sohkamyung,Ethereum Plans to Cut Its Energy Consumption by 99 Percent,energy
hackernews,2016-04-19T04:41:21Z,Osiris30,"Solar is now cheaper than some coal, says India energy minister",energy
hackernews,2019-07-29T21:44:16Z,jjallen,Megapack: Utility-Scale Energy Storage,energy
hackernews,2024-10-14T19:06:22Z,atomic128,Google commits to buying power generated by nuclear-energy startup Kairos Power,energy
hackernews,2017-06-25T16:05:33Z,JumpCrisscross,Texas Is Too Windy and Sunny for Old Energy Companies to Make Money,energy
hackernews,2020-08-30T18:52:24Z,elsewhen,"After 48 years, Democrats endorse nuclear energy in platform",energy
hackernews,2018-08-07T19:43:05Z,bumholio,Power Worth Less Than Zero Spreads as Green Energy Floods the Grid,energy
hackernews,2022-12-13T16:44:40Z,novateg,US Department of Energy: Fusion Ignition Achieved,energy
hackernews,2021-05-18T13:55:41Z,vishnu_ks,Ethereum will use around 99.95% less energy post merge,energy
hackernews,2015-05-01T04:00:32Z,tga_d,Tesla Energy,energy
hackernews,2022-02-09T12:02:41Z,playpause,Major breakthrough on nuclear fusion energy,energy
hackernews,2022-12-11T18:29:26Z,zackoverflow,Fusion energy breakthrough by Livermore Lab,energy
hackernews,2021-09-08T19:50:36Z,klintcho,MIT-designed project achieves major advance toward fusion energy,energy
hackernews,2016-12-06T14:31:40Z,danvoell,Google says it will run entirely on renewable energy in 2017,energy
hackernews,2016-12-15T23:35:13Z,Osiris30,World Energy Hits a Turning Point: Solar That's Cheaper Than Wind,energy
hackernews,2021-11-09T20:26:22Z,julosflb,Macron says France will build new nuclear energy reactors,energy
hackernews,2018-08-18T17:16:04Z,nabla9,Stacking concrete blocks is a surprisingly efficient way to store energy,energy
hackernews,2013-05-22T20:22:00Z,weisser,Tesla Repays Department of Energy Loan Nine Years Early,energy
hackernews,2017-07-31T15:41:42Z,mpweiher,"Out of all major energy sources, nuclear is the safest",energy
hackernews,2022-12-22T13:18:03Z,geox,Japan to invest on nuclear energy in major policy shift,energy
hackernews,2019-01-03T00:48:40Z,sohkamyung,Ethereum Plans to Cut Its Energy Consumption by 99 Percent,energy
hackernews,2016-04-19T04:41:21Z,Osiris30,"Solar is now cheaper than some coal, says India energy minister",energy
hackernews,2019-07-29T21:44:16Z,jjallen,Megapack: Utility-Scale Energy Storage,energy
hackernews,2024-10-14T19:06:22Z,atomic128,Google commits to buying power generated by nuclear-energy startup Kairos Power,energy
hackernews,2017-06-25T16:05:33Z,JumpCrisscross,Texas Is Too Windy and Sunny for Old Energy Companies to Make Money,energy
hackernews,2020-08-30T18:52:24Z,elsewhen,"After 48 years, Democrats endorse nuclear energy in platform",energy
hackernews,2018-08-07T19:43:05Z,bumholio,Power Worth Less Than Zero Spreads as Green Energy Floods the Grid,energy
