source,date,author,text,topic
hackernews,2021-02-08T21:52:40Z,scottbucks,SSC’s Bioenergy Facade Produces Heat and Biomass,bioenergy
hackernews,2020-06-18T20:44:51Z,dec0dedab0de,Bio-energy with carbon capture and storage,bioenergy
hackernews,2020-04-13T21:38:24Z,rbanffy,3D printed corals could improve bioenergy and help coral reefs,bioenergy
hackernews,2016-04-19T21:25:44Z,willholloway,Bio-energy with carbon capture and storage,bioenergy
hackernews,2015-07-20T18:43:00Z,queryly,,bioenergy
hackernews,2015-07-07T20:21:26Z,dnautics,,bioenergy
hackernews,2022-11-30T15:36:14Z,Brajeshwar,EU climate plan sacrifices carbon storage and biodiversity for bioenergy,bioenergy
hackernews,2023-08-15T22:45:10Z,PaulHoule,Rye: the right crop for generating bioenergy and capturing nitrates and carbon,bioenergy
hackernews,2022-05-26T19:27:14Z,PaulHoule,Does Wood Bioenergy Help or Harm the Climate?,bioenergy
hackernews,2022-03-10T14:51:44Z,jermaustin1,"At bioenergy crossroads, should corn ethanol be left in the rearview mirror?",bioenergy
hackernews,2021-03-12T18:36:46Z,CapitalistCartr,"Self-sustainable, wearable, multi-modular, E-textile bioenergy microgrid system",bioenergy
hackernews,2021-03-10T19:27:56Z,scottbucks,Bioenergy Facade That Produces Micro-Algae and Heat,bioenergy
hackernews,2018-11-29T18:36:26Z,cribbles,Will Bio-Energy with Carbon Capture and Storage Help the Climate?,bioenergy
hackernews,2016-01-08T05:56:09Z,chewymouse,"Bioenergy Plus Carbon Capture Sounds Promising, Looks Dubious",bioenergy
hackernews,2015-10-01T21:49:18Z,ph0rque,FOOD WASTE TO ENERGY CONVERTER by Impact Bioenergy,bioenergy
hackernews,2025-05-08T06:08:37Z,PaulHoule,Field-scale evaluation of ecosystem service benefits of bioenergy switchgrass,bioenergy
hackernews,2024-01-23T17:15:08Z,PaulHoule,Unveiling the Potential of Apricot Residues: From Nutraceuticals to Bioenergy,bioenergy
hackernews,2021-07-11T15:00:35Z,PaulHoule,Bioenergy with carbon capture and storage (BECCS),bioenergy
hackernews,2021-04-19T18:44:59Z,flina,Angela Carter's BioEnergy Code Help You?,bioenergy
hackernews,2021-03-09T16:22:41Z,DocFeind,A self-sustainable wearable multi-modular E-textile bioenergy microgrid system,bioenergy
hackernews,2021-02-08T21:52:40Z,scottbucks,SSC’s Bioenergy Facade Produces Heat and Biomass,bioenergy
hackernews,2020-06-18T20:44:51Z,dec0dedab0de,Bio-energy with carbon capture and storage,bioenergy
hackernews,2020-04-13T21:38:24Z,rbanffy,3D printed corals could improve bioenergy and help coral reefs,bioenergy
hackernews,2016-04-19T21:25:44Z,willholloway,Bio-energy with carbon capture and storage,bioenergy
hackernews,2015-07-20T18:43:00Z,queryly,,bioenergy
hackernews,2015-07-07T20:21:26Z,dnautics,,bioenergy
hackernews,2022-11-30T15:36:14Z,Brajeshwar,EU climate plan sacrifices carbon storage and biodiversity for bioenergy,bioenergy
hackernews,2023-08-15T22:45:10Z,PaulHoule,Rye: the right crop for generating bioenergy and capturing nitrates and carbon,bioenergy
hackernews,2022-05-26T19:27:14Z,PaulHoule,Does Wood Bioenergy Help or Harm the Climate?,bioenergy
hackernews,2022-03-10T14:51:44Z,jermaustin1,"At bioenergy crossroads, should corn ethanol be left in the rearview mirror?",bioenergy
hackernews,2021-03-12T18:36:46Z,CapitalistCartr,"Self-sustainable, wearable, multi-modular, E-textile bioenergy microgrid system",bioenergy
hackernews,2021-03-10T19:27:56Z,scottbucks,Bioenergy Facade That Produces Micro-Algae and Heat,bioenergy
hackernews,2018-11-29T18:36:26Z,cribbles,Will Bio-Energy with Carbon Capture and Storage Help the Climate?,bioenergy
hackernews,2016-01-08T05:56:09Z,chewymouse,"Bioenergy Plus Carbon Capture Sounds Promising, Looks Dubious",bioenergy
hackernews,2015-10-01T21:49:18Z,ph0rque,FOOD WASTE TO ENERGY CONVERTER by Impact Bioenergy,bioenergy
hackernews,2025-05-08T06:08:37Z,PaulHoule,Field-scale evaluation of ecosystem service benefits of bioenergy switchgrass,bioenergy
hackernews,2024-01-23T17:15:08Z,PaulHoule,Unveiling the Potential of Apricot Residues: From Nutraceuticals to Bioenergy,bioenergy
hackernews,2021-07-11T15:00:35Z,PaulHoule,Bioenergy with carbon capture and storage (BECCS),bioenergy
hackernews,2021-04-19T18:44:59Z,flina,Angela Carter's BioEnergy Code Help You?,bioenergy
hackernews,2021-03-09T16:22:41Z,DocFeind,A self-sustainable wearable multi-modular E-textile bioenergy microgrid system,bioenergy
hackernews,2021-02-08T21:52:40Z,scottbucks,SSC’s Bioenergy Facade Produces Heat and Biomass,bioenergy
hackernews,2020-06-18T20:44:51Z,dec0dedab0de,Bio-energy with carbon capture and storage,bioenergy
hackernews,2020-04-13T21:38:24Z,rbanffy,3D printed corals could improve bioenergy and help coral reefs,bioenergy
hackernews,2016-04-19T21:25:44Z,willholloway,Bio-energy with carbon capture and storage,bioenergy
hackernews,2015-07-20T18:43:00Z,queryly,,bioenergy
hackernews,2015-07-07T20:21:26Z,dnautics,,bioenergy
hackernews,2022-11-30T15:36:14Z,Brajeshwar,EU climate plan sacrifices carbon storage and biodiversity for bioenergy,bioenergy
hackernews,2023-08-15T22:45:10Z,PaulHoule,Rye: the right crop for generating bioenergy and capturing nitrates and carbon,bioenergy
hackernews,2022-05-26T19:27:14Z,PaulHoule,Does Wood Bioenergy Help or Harm the Climate?,bioenergy
hackernews,2022-03-10T14:51:44Z,jermaustin1,"At bioenergy crossroads, should corn ethanol be left in the rearview mirror?",bioenergy
hackernews,2021-03-12T18:36:46Z,CapitalistCartr,"Self-sustainable, wearable, multi-modular, E-textile bioenergy microgrid system",bioenergy
hackernews,2021-03-10T19:27:56Z,scottbucks,Bioenergy Facade That Produces Micro-Algae and Heat,bioenergy
hackernews,2018-11-29T18:36:26Z,cribbles,Will Bio-Energy with Carbon Capture and Storage Help the Climate?,bioenergy
hackernews,2016-01-08T05:56:09Z,chewymouse,"Bioenergy Plus Carbon Capture Sounds Promising, Looks Dubious",bioenergy
hackernews,2015-10-01T21:49:18Z,ph0rque,FOOD WASTE TO ENERGY CONVERTER by Impact Bioenergy,bioenergy
hackernews,2025-05-08T06:08:37Z,PaulHoule,Field-scale evaluation of ecosystem service benefits of bioenergy switchgrass,bioenergy
hackernews,2024-01-23T17:15:08Z,PaulHoule,Unveiling the Potential of Apricot Residues: From Nutraceuticals to Bioenergy,bioenergy
hackernews,2021-07-11T15:00:35Z,PaulHoule,Bioenergy with carbon capture and storage (BECCS),bioenergy
hackernews,2021-04-19T18:44:59Z,flina,Angela Carter's BioEnergy Code Help You?,bioenergy
hackernews,2021-03-09T16:22:41Z,DocFeind,A self-sustainable wearable multi-modular E-textile bioenergy microgrid system,bioenergy
hackernews,2021-02-08T21:52:40Z,scottbucks,SSC’s Bioenergy Facade Produces Heat and Biomass,bioenergy
hackernews,2020-06-18T20:44:51Z,dec0dedab0de,Bio-energy with carbon capture and storage,bioenergy
hackernews,2020-04-13T21:38:24Z,rbanffy,3D printed corals could improve bioenergy and help coral reefs,bioenergy
hackernews,2016-04-19T21:25:44Z,willholloway,Bio-energy with carbon capture and storage,bioenergy
hackernews,2015-07-20T18:43:00Z,queryly,,bioenergy
hackernews,2015-07-07T20:21:26Z,dnautics,,bioenergy
hackernews,2022-11-30T15:36:14Z,Brajeshwar,EU climate plan sacrifices carbon storage and biodiversity for bioenergy,bioenergy
hackernews,2023-08-15T22:45:10Z,PaulHoule,Rye: the right crop for generating bioenergy and capturing nitrates and carbon,bioenergy
hackernews,2022-05-26T19:27:14Z,PaulHoule,Does Wood Bioenergy Help or Harm the Climate?,bioenergy
hackernews,2022-03-10T14:51:44Z,jermaustin1,"At bioenergy crossroads, should corn ethanol be left in the rearview mirror?",bioenergy
hackernews,2021-03-12T18:36:46Z,CapitalistCartr,"Self-sustainable, wearable, multi-modular, E-textile bioenergy microgrid system",bioenergy
hackernews,2021-03-10T19:27:56Z,scottbucks,Bioenergy Facade That Produces Micro-Algae and Heat,bioenergy
hackernews,2018-11-29T18:36:26Z,cribbles,Will Bio-Energy with Carbon Capture and Storage Help the Climate?,bioenergy
hackernews,2016-01-08T05:56:09Z,chewymouse,"Bioenergy Plus Carbon Capture Sounds Promising, Looks Dubious",bioenergy
hackernews,2015-10-01T21:49:18Z,ph0rque,FOOD WASTE TO ENERGY CONVERTER by Impact Bioenergy,bioenergy
hackernews,2025-05-08T06:08:37Z,PaulHoule,Field-scale evaluation of ecosystem service benefits of bioenergy switchgrass,bioenergy
hackernews,2024-01-23T17:15:08Z,PaulHoule,Unveiling the Potential of Apricot Residues: From Nutraceuticals to Bioenergy,bioenergy
hackernews,2021-07-11T15:00:35Z,PaulHoule,Bioenergy with carbon capture and storage (BECCS),bioenergy
hackernews,2021-04-19T18:44:59Z,flina,Angela Carter's BioEnergy Code Help You?,bioenergy
hackernews,2021-03-09T16:22:41Z,DocFeind,A self-sustainable wearable multi-modular E-textile bioenergy microgrid system,bioenergy
hackernews,2021-02-08T21:52:40Z,scottbucks,SSC’s Bioenergy Facade Produces Heat and Biomass,bioenergy
hackernews,2020-06-18T20:44:51Z,dec0dedab0de,Bio-energy with carbon capture and storage,bioenergy
hackernews,2020-04-13T21:38:24Z,rbanffy,3D printed corals could improve bioenergy and help coral reefs,bioenergy
hackernews,2016-04-19T21:25:44Z,willholloway,Bio-energy with carbon capture and storage,bioenergy
hackernews,2015-07-20T18:43:00Z,queryly,,bioenergy
hackernews,2015-07-07T20:21:26Z,dnautics,,bioenergy
hackernews,2022-11-30T15:36:14Z,Brajeshwar,EU climate plan sacrifices carbon storage and biodiversity for bioenergy,bioenergy
hackernews,2023-08-15T22:45:10Z,PaulHoule,Rye: the right crop for generating bioenergy and capturing nitrates and carbon,bioenergy
hackernews,2022-05-26T19:27:14Z,PaulHoule,Does Wood Bioenergy Help or Harm the Climate?,bioenergy
hackernews,2022-03-10T14:51:44Z,jermaustin1,"At bioenergy crossroads, should corn ethanol be left in the rearview mirror?",bioenergy
hackernews,2021-03-12T18:36:46Z,CapitalistCartr,"Self-sustainable, wearable, multi-modular, E-textile bioenergy microgrid system",bioenergy
hackernews,2021-03-10T19:27:56Z,scottbucks,Bioenergy Facade That Produces Micro-Algae and Heat,bioenergy
hackernews,2018-11-29T18:36:26Z,cribbles,Will Bio-Energy with Carbon Capture and Storage Help the Climate?,bioenergy
hackernews,2016-01-08T05:56:09Z,chewymouse,"Bioenergy Plus Carbon Capture Sounds Promising, Looks Dubious",bioenergy
hackernews,2015-10-01T21:49:18Z,ph0rque,FOOD WASTE TO ENERGY CONVERTER by Impact Bioenergy,bioenergy
hackernews,2025-05-08T06:08:37Z,PaulHoule,Field-scale evaluation of ecosystem service benefits of bioenergy switchgrass,bioenergy
hackernews,2024-01-23T17:15:08Z,PaulHoule,Unveiling the Potential of Apricot Residues: From Nutraceuticals to Bioenergy,bioenergy
hackernews,2021-07-11T15:00:35Z,PaulHoule,Bioenergy with carbon capture and storage (BECCS),bioenergy
hackernews,2021-04-19T18:44:59Z,flina,Angela Carter's BioEnergy Code Help You?,bioenergy
hackernews,2021-03-09T16:22:41Z,DocFeind,A self-sustainable wearable multi-modular E-textile bioenergy microgrid system,bioenergy
hackernews,2021-02-08T21:52:40Z,scottbucks,SSC’s Bioenergy Facade Produces Heat and Biomass,bioenergy
hackernews,2020-06-18T20:44:51Z,dec0dedab0de,Bio-energy with carbon capture and storage,bioenergy
hackernews,2020-04-13T21:38:24Z,rbanffy,3D printed corals could improve bioenergy and help coral reefs,bioenergy
hackernews,2016-04-19T21:25:44Z,willholloway,Bio-energy with carbon capture and storage,bioenergy
hackernews,2015-07-20T18:43:00Z,queryly,,bioenergy
hackernews,2015-07-07T20:21:26Z,dnautics,,bioenergy
hackernews,2022-11-30T15:36:14Z,Brajeshwar,EU climate plan sacrifices carbon storage and biodiversity for bioenergy,bioenergy
hackernews,2023-08-15T22:45:10Z,PaulHoule,Rye: the right crop for generating bioenergy and capturing nitrates and carbon,bioenergy
hackernews,2022-05-26T19:27:14Z,PaulHoule,Does Wood Bioenergy Help or Harm the Climate?,bioenergy
hackernews,2022-03-10T14:51:44Z,jermaustin1,"At bioenergy crossroads, should corn ethanol be left in the rearview mirror?",bioenergy
hackernews,2021-03-12T18:36:46Z,CapitalistCartr,"Self-sustainable, wearable, multi-modular, E-textile bioenergy microgrid system",bioenergy
hackernews,2021-03-10T19:27:56Z,scottbucks,Bioenergy Facade That Produces Micro-Algae and Heat,bioenergy
hackernews,2018-11-29T18:36:26Z,cribbles,Will Bio-Energy with Carbon Capture and Storage Help the Climate?,bioenergy
hackernews,2016-01-08T05:56:09Z,chewymouse,"Bioenergy Plus Carbon Capture Sounds Promising, Looks Dubious",bioenergy
hackernews,2015-10-01T21:49:18Z,ph0rque,FOOD WASTE TO ENERGY CONVERTER by Impact Bioenergy,bioenergy
hackernews,2025-05-08T06:08:37Z,PaulHoule,Field-scale evaluation of ecosystem service benefits of bioenergy switchgrass,bioenergy
hackernews,2024-01-23T17:15:08Z,PaulHoule,Unveiling the Potential of Apricot Residues: From Nutraceuticals to Bioenergy,bioenergy
hackernews,2021-07-11T15:00:35Z,PaulHoule,Bioenergy with carbon capture and storage (BECCS),bioenergy
hackernews,2021-04-19T18:44:59Z,flina,Angela Carter's BioEnergy Code Help You?,bioenergy
hackernews,2021-03-09T16:22:41Z,DocFeind,A self-sustainable wearable multi-modular E-textile bioenergy microgrid system,bioenergy
hackernews,2021-02-08T21:52:40Z,scottbucks,SSC’s Bioenergy Facade Produces Heat and Biomass,bioenergy
hackernews,2020-06-18T20:44:51Z,dec0dedab0de,Bio-energy with carbon capture and storage,bioenergy
hackernews,2020-04-13T21:38:24Z,rbanffy,3D printed corals could improve bioenergy and help coral reefs,bioenergy
hackernews,2016-04-19T21:25:44Z,willholloway,Bio-energy with carbon capture and storage,bioenergy
hackernews,2015-07-20T18:43:00Z,queryly,,bioenergy
hackernews,2015-07-07T20:21:26Z,dnautics,,bioenergy
